,Episodeid,enddate,lat_10deg,lon_10deg,startdate,ST4_accum75,ST4_area75,ST4_dur,ST4_maxrr,ST4_avgrr,ST4_area_avg_pcp,area_norm_pcp,Season,state_cz_fips,centroid_lat,centroid_lon,flood_type,CTRL_total_accum75,CTRL_area_avg_pcp,CTRL_max_accum75,CTRL_total_avgrr75,CTRL_total_dur75,area_avg_rain_diff,dur_diff,area_avg_rain_diff_pct
24,36468,20100206.17,"[29.375, 29.625, 29.875, 30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375]","[-123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875, -113.625, -113.375, -113.125]",20100206.03,12429.650390625,48374.0,15.0,2.0273332595825195,0.3864941000938416,5.1058220863342285,0.2569489889325878,Winter,6037.0,34.321040331376444,-118.224645893059,flash,142178.82812499997,20.41039657592773,130.52540588378906,1.360693345725656,15.0,15.304574489593502,0.0,299.7475084483713
25,57900,20110910.19,"[29.375, 29.625, 29.875, 30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375]","[-123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875, -113.625, -113.375, -113.125]",20110910.12,350.5099792480469,2955.6875,8.0,1.0012500286102295,0.33445608615875244,2.482144594192505,0.11858830788033135,Fall,6037.0,34.321040331376444,-118.224645893059,flash,6127.172363281249,2.1712162494659424,13.62809944152832,0.2714020394707596,8.0,-0.3109283447265625,0.0,-12.526600805369851
26,17732,20080522.13,"[28.625, 28.875, 29.125, 29.375, 29.625, 29.875, 30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625]","[-122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875, -113.625, -113.375, -113.125, -112.875]",20080522.1,89.44999694824219,1850.125,4.0,0.625,0.27271339297294617,1.0286054611206057,0.048348082939391766,Spring,6059.0,33.70281432335231,-117.76057269604469,flash,99.71266174316405,0.08047834038734436,0.41978210210800165,0.006190641689450037,13.0,-0.9481271207332613,9.0,-92.17597578184468
27,69339,20121203.02,"[32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375, 39.625, 39.875, 40.125, 40.375, 40.625, 40.875, 41.125, 41.375, 41.625, 41.875, 42.125, 42.375, 42.625, 42.875, 43.125, 43.375, 43.625, 43.875, 44.125, 44.375, 44.625, 44.875, 45.125, 45.375, 45.625, 45.875, 46.125, 46.375, 46.625, 46.875, 47.125]","[-129.125, -128.875, -128.625, -128.375, -128.125, -127.875, -127.625, -127.375, -127.125, -126.875, -126.625, -126.375, -126.125, -125.875, -125.625, -125.375, -125.125, -124.875, -124.625, -124.375, -124.125, -123.875, -123.625, -123.375, -123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125]",20121201.05,42218.2890625,7152.3125,48.0,35.54750061035156,8.323795318603517,142.61090087890625,5.902746707795557,Winter,6007.0,39.6366459461667,-121.6467674770444,slow,1192568.75,90.2640609741211,373.6014099121094,1.9622624339632313,46.0,-52.346839904785156,-2.0,-36.706057939591794
28,69893,20121130.18,"[30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375, 39.625, 39.875, 40.125, 40.375, 40.625, 40.875, 41.125, 41.375, 41.625, 41.875, 42.125, 42.375, 42.625, 42.875, 43.125, 43.375, 43.625, 43.875, 44.125, 44.375, 44.625, 44.875, 45.125]","[-129.625, -129.375, -129.125, -128.875, -128.625, -128.375, -128.125, -127.875, -127.625, -127.375, -127.125, -126.875, -126.625, -126.375, -126.125, -125.875, -125.625, -125.375, -125.125, -124.875, -124.625, -124.375, -124.125, -123.875, -123.625, -123.375, -123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625]",20121129.23,39776.5078125,8686.5625,21.0,48.07285690307617,14.759374618530273,99.38480377197264,4.579084973198547,Fall,6001.0,37.56639132547028,-122.05611171149006,slow,690012.875,49.40308380126954,249.14997863769528,2.4701538646657313,20.0,-49.981719970703104,-1.0,-50.29110897615755
29,1203164,20060104.04,"[31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375, 39.625, 39.875, 40.125, 40.375, 40.625, 40.875, 41.125, 41.375, 41.625, 41.875, 42.125, 42.375, 42.625, 42.875, 43.125, 43.375, 43.625, 43.875, 44.125, 44.375, 44.625, 44.875, 45.125, 45.375, 45.625, 45.875, 46.125]","[-129.125, -128.875, -128.625, -128.375, -128.125, -127.875, -127.625, -127.375, -127.125, -126.875, -126.625, -126.375, -126.125, -125.875, -125.625, -125.375, -125.125, -124.875, -124.625, -124.375, -124.125, -123.875, -123.625, -123.375, -123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125]",20051231.18,179969.453125,82375.6875,84.0,7.211071491241455,1.7604711055755615,48.05162048339844,2.1847399225044404,Winter,6067.0,38.74464114706309,-121.50584504650374,slow,1187873.375,105.45751190185547,349.92135620117193,1.2705725558338787,83.0,57.40589141845703,-1.0,119.4671289770351
30,70798,20121224.04,"[30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375, 39.625, 39.875, 40.125, 40.375, 40.625, 40.875, 41.125, 41.375, 41.625, 41.875, 42.125, 42.375, 42.625, 42.875, 43.125, 43.375, 43.625, 43.875, 44.125, 44.375, 44.625, 44.875, 45.125, 45.375, 45.625]","[-129.875, -129.625, -129.375, -129.125, -128.875, -128.625, -128.375, -128.125, -127.875, -127.625, -127.375, -127.125, -126.875, -126.625, -126.375, -126.125, -125.875, -125.625, -125.375, -125.125, -124.875, -124.625, -124.375, -124.125, -123.875, -123.625, -123.375, -123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875]",20121221.06,19931.1015625,9408.5625,72.0,3.7304165363311768,1.9915169477462769,42.69567108154297,2.1184002936155237,Winter,6041.0,38.12010455971894,-122.46806598315227,slow,1206304.25,86.15228271484375,383.06393432617193,1.2134122718449682,71.0,43.45661163330078,-1.0,101.78224286556947
31,1202731,20060101.05,"[31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375, 39.625, 39.875, 40.125, 40.375, 40.625, 40.875, 41.125, 41.375, 41.625, 41.875, 42.125, 42.375, 42.625, 42.875, 43.125, 43.375, 43.625, 43.875, 44.125, 44.375, 44.625, 44.875, 45.125, 45.375, 45.625, 45.875, 46.125, 46.375, 46.625, 46.875]","[-128.125, -127.875, -127.625, -127.375, -127.125, -126.875, -126.625, -126.375, -126.125, -125.875, -125.625, -125.375, -125.125, -124.875, -124.625, -124.375, -124.125, -123.875, -123.625, -123.375, -123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875, -113.625, -113.375, -113.125]",20051230.14,22382.0703125,13041.125,42.0,6.4757142066955575,2.7659504413604736,40.440372467041016,1.7162683673762809,Winter,6091.0,39.42845597964214,-120.54012465783005,slow,1488246.875,119.95219421386719,512.1982421875,2.9988047695029243,40.0,79.51182174682617,-2.0,196.61495900322993
32,46877,20101226.05,"[26.625, 26.875, 27.125, 27.375, 27.625, 27.875, 28.125, 28.375, 28.625, 28.875, 29.125, 29.375, 29.625, 29.875, 30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375, 39.625, 39.875, 40.125, 40.375, 40.625, 40.875, 41.125, 41.375, 41.625]","[-124.125, -123.875, -123.625, -123.375, -123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875, -113.625, -113.375, -113.125, -112.875, -112.625, -112.375, -112.125, -111.875, -111.625, -111.375, -111.125, -110.875, -110.625, -110.375, -110.125, -109.875, -109.625, -109.375, -109.125]",20101219.0,167007.265625,102343.5,174.0,2.861724376678467,0.6347962617874146,37.218406677246094,1.6318307037085893,Winter,6073.0,34.104912181064726,-116.71317022247305,slow,1569278.625,156.9278564453125,855.1445922851561,0.901884330727588,174.0,119.7094497680664,0.0,321.6404474435822
33,14081,20080124.06,"[29.125, 29.375, 29.625, 29.875, 30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375, 39.625, 39.875, 40.125, 40.375, 40.625, 40.875, 41.125, 41.375, 41.625, 41.875, 42.125, 42.375, 42.625, 42.875, 43.125, 43.375, 43.625, 43.875, 44.125]","[-127.125, -126.875, -126.625, -126.375, -126.125, -125.875, -125.625, -125.375, -125.125, -124.875, -124.625, -124.375, -124.125, -123.875, -123.625, -123.375, -123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875, -113.625, -113.375, -113.125, -112.875, -112.625, -112.375, -112.125]",20080123.01,54533.578125,40025.875,30.0,95.0270004272461,3.0740463733673096,28.07128143310547,1.3624581130331317,Winter,6019.0,36.68381818581904,-119.74236722295616,slow,261985.1875,26.643465042114258,130.8141937255859,0.8881156346576407,30.0,-1.427816390991211,0.0,-5.086395483561131
